nama,lat,lon
愛知県,35.018237,137.292368
秋田県,40.137602,140.334321
青森県,40.765704,140.917587
千葉県,35.335438,140.183241
愛媛県,33.602513,132.785755
福井県,35.896232,136.211148
福岡県,33.566242,130.715855
福島県,37.383411,140.183241
岐阜県,35.743744,136.980518
群馬県,36.560565,138.880011
広島県,34.882316,133.019482
北海道,43.220354,142.863454
兵庫県,34.857968,134.545381
茨城県,36.219376,140.183241
石川県,36.326058,136.528951
岩手県,39.58332,141.253439
香川県,34.22259,134.019929
鹿児島県,31.391181,130.877856
神奈川県,35.491356,139.284145
高知県,33.548113,133.252129
熊本県,32.859451,130.796914
京都府,35.156687,135.525216
三重県,33.814412,136.048702
宮城県,38.630638,141.119295
宮崎県,32.603583,131.44124
長野県,36.154416,137.921803
長崎県,33.248877,129.69311
奈良県,34.29753,135.827973
新潟県,37.517817,138.926998
大分県,33.158954,131.361092
岡山県,34.89636,133.637517
沖縄県,26.120218,127.702522
大阪府,34.641338,135.562933
佐賀県,33.307818,130.227104
埼玉県,35.996238,139.446609
滋賀県,35.329207,136.056337
島根県,35.124383,132.629332
静岡県,35.092966,138.319006
栃木県,36.671457,139.854738
徳島県,33.941989,134.323638
東京都,35.676196,139.65029
鳥取県,35.357302,133.406657
富山県,36.695851,137.213703
和歌山県,33.948093,135.374521
山形県,38.53704,140.14352
山口県,34.279655,131.521278
山梨県,35.663494,138.638908
